objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Castles of Caleira","236905","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56631922","5.52869","6.52846","1.3333","10711","130","thing","Castles of Caleira","2","4","10","10","5","2018","2,3,4","2","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan","13","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468771","7.05007","7.20321","2.3429","309","120017","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Cauldron: Base Set (fan expansion to Sentinels of the Multiverse)","221834","0","","0","0","0","0","0","1","0","0","0","1","","","","","","49038524","5.61976","8.97959","3","0","132","thing","The Cauldron: Base Set (fan expansion to Sentinels of the Multiverse)","3","5","60","60","30","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Cauldron: Experimental (fan expansion to Sentinels of the Multiverse)","225995","0","","0","0","0","0","0","1","0","0","0","1","","","","","","49038540","5.58417","8.85938","3","0","99","thing","The Cauldron: Experimental (fan expansion to Sentinels of the Multiverse)","3","5","60","60","30","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Cauldron: Promo Pack #1 (fan expansion to Sentinels of the Multiverse)","225997","0","","0","0","0","0","0","1","0","0","0","1","","","","","","49038572","0","8.91667","0","0","77","thing","The Cauldron: Promo Pack #1 (fan expansion to Sentinels of the Multiverse)","3","5","60","60","30","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Cauldron: Promo Pack #2 (fan expansion to Sentinels of the Multiverse)","225998","0","","0","0","0","0","0","1","0","0","0","1","","","","","","49038556","0","8.86842","0","0","77","thing","The Cauldron: Promo Pack #2 (fan expansion to Sentinels of the Multiverse)","3","5","60","60","30","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Cauldron: Stormfall (fan expansion to Sentinels of the Multiverse)","225996","0","","0","0","0","0","0","1","0","0","0","1","","","","","","49038554","0","8.97917","0","0","82","thing","The Cauldron: Stormfall (fan expansion to Sentinels of the Multiverse)","3","5","60","60","30","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Caverna: The Cave Farmers","102794","0","","0","0","0","0","0","0","0","0","1","3","","","","","","42332058","7.91954","8.08619","3.7852","19","28949","thing","Caverna: The Cave Farmers","1","7","210","210","30","2013","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Champions of Midgard","172287","0","","0","1","0","0","0","0","0","0","0","3","","Need expansions","","","","42468481","7.4554","7.80203","2.5455","96","12019","thing","Champions of Midgard","2","4","90","90","60","2015","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Champions of Midgard: Despised Promo Card","208305","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49037850","5.64658","7.49286","3","0","785","thing","Champions of Midgard: Despised Promo Card","2","4","90","90","45","2015","2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Champions of Midgard: Odin's Trial Promo Card","203464","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49037834","5.66623","7.74286","3","0","835","thing","Champions of Midgard: Odin's Trial Promo Card","2","4","0","0","0","2015","2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Champions of Midgard: SeeZam Promo Card","207105","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48946631","5.72316","7.68613","3","0","1178","thing","Champions of Midgard: SeeZam Promo Card","2","4","90","90","60","2016","2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Champions of Midgard: The Dark Mountains","219787","0","","0","1","0","0","0","0","0","0","0","3","","","","","","44632259","6.78669","8.00822","2.2","0","4880","thing","Champions of Midgard: The Dark Mountains","2","5","90","90","60","2017","2,3,4,5","3,4,5","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Champions of Midgard: Valhalla","219788","0","","0","1","0","0","0","0","0","0","0","3","","","","","","44632261","7.10027","8.4423","2.6","0","5298","thing","Champions of Midgard: Valhalla","2","4","120","120","60","2017","2,3,4","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Champions of Midgard: Virtue Promo Card","194794","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49037843","5.68869","7.52835","3","0","1000","thing","Champions of Midgard: Virtue Promo Card","2","4","90","90","45","2015","2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Citadels","478","0","","0","1","0","0","0","0","0","0","0","3","","","","","","48946690","7.01025","7.10705","2.0575","348","56522","thing","Citadels","2","8","60","60","20","2010","2,3,4,5,6,7","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2010","Fantasy Flight Third Edition with The Dark City expansion"
"Codenames","178900","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468509","7.64566","7.73404","1.3175","56","75595","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames Duet","224037","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56631615","7.40727","7.75371","1.2929","112","14241","thing","Codenames Duet","2","4","30","30","15","2017","2,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup","131357","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468394","6.93079","7.05256","1.421","419","45128","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42328833","7.55882","7.70246","3.004","72","42794","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: The Long Night","193037","0","","0","1","0","0","0","0","0","0","0","1","","","","","","33147523","7.29215","7.80026","3.4186","167","12850","thing","Dead of Winter: The Long Night","2","5","120","120","60","2016","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: Warring Colonies","206094","0","","0","0","0","0","0","0","0","0","1","2","","","","","","46245725","5.79108","7.24474","3.2","0","2069","thing","Dead of Winter: Warring Colonies","4","11","120","120","45","2017","4,5,6,7,8,9","6,7","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Deep Space D-6","183571","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56664765","6.3948","7.36964","1.6429","1091","3531","thing","Deep Space D-6","1","1","30","30","30","2015","1","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Deep Space D-6: The Endless Expansion","228890","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56676562","5.56981","7.51087","0","0","1189","thing","Deep Space D-6: The Endless Expansion","1","1","30","30","30","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition)","104162","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331166","7.50463","7.736","3.2057","79","29533","thing","Descent: Journeys in the Dark (Second Edition)","2","5","120","120","120","2012","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Diamonds","152162","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468397","6.65214","6.99194","1.5705","704","6330","thing","Diamonds","2","6","30","30","20","2014","2,3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dig Down Dwarf","150364","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48946810","5.6307","6.26102","1.4167","5460","664","thing","Dig Down Dwarf","2","4","15","15","15","2013","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit","39856","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949498","7.20273","7.30308","1.2421","208","53231","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion","36218","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42328780","7.55291","7.65182","2.3648","74","86186","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Dice","136192","0","","0","1","0","0","0","0","0","0","0","3","","Expansions","","","","42468819","5.83537","6.94327","2.093","3021","1211","thing","Dungeon Dice","2","5","20","20","20","2014","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Dice: Boss Monsters","227304","0","","0","0","0","0","0","0","0","1","0","1","","","","","","48949619","0","4.5","0","0","10","thing","Dungeon Dice: Boss Monsters","2","5","20","0","20","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: Colosseum","176787","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949541","5.57864","7.28571","3","0","383","thing","Dungeon Dice: Colosseum","2","6","40","40","15","2016","2,3,4,5","5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: Dual Artifact Pack","225994","0","","0","0","0","0","0","0","0","1","0","1","","","","","","48949620","0","4.5","0","0","9","thing","Dungeon Dice: Dual Artifact Pack","2","5","20","20","20","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: Familiar Pack","159624","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949614","5.57576","7.09552","2","0","411","thing","Dungeon Dice: Familiar Pack","2","4","20","20","20","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: Five-Player Booster Pack","159626","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949604","5.55303","6.84464","3","0","385","thing","Dungeon Dice: Five-Player Booster Pack","2","5","20","20","20","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: Guilds","158227","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949547","5.63648","7.31944","2.5","0","641","thing","Dungeon Dice: Guilds","2","4","20","20","20","2014","3,4","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: Ivory Familiars","227551","0","","0","0","0","0","0","0","0","1","0","1","","","","","","48949627","0","1","0","0","5","thing","Dungeon Dice: Ivory Familiars","2","5","20","0","20","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: KickStarter Exclusive Expansion","143265","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949599","5.57689","6.90588","2","0","501","thing","Dungeon Dice: KickStarter Exclusive Expansion","2","4","20","20","20","2013","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: Monster Pack","159622","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949610","5.57205","7.04328","3.5","0","405","thing","Dungeon Dice: Monster Pack","2","4","20","20","20","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: Potion Pack","159625","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949617","5.56895","7.11774","0","0","405","thing","Dungeon Dice: Potion Pack","2","0","20","20","20","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: The Lost King","225138","0","","0","0","0","0","0","0","0","1","0","1","","","","","","48949601","0","6.46154","2","0","33","thing","Dungeon Dice: The Lost King","2","6","60","60","20","2018","2,3,4,5,6","3,4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Dice: Thief Die","163975","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949606","5.5505","6.93137","2","0","353","thing","Dungeon Dice: Thief Die","2","5","20","20","20","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Roll","138788","0","","0","1","0","0","0","0","0","0","0","3","","Need to get all expansions listed","","","","42468401","6.01019","6.1495","1.3386","2131","13108","thing","Dungeon Roll","1","4","15","15","15","2013","1,2,3","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon!","1339","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468523","5.75313","5.95151","1.5689","3670","6746","thing","Dungeon!","1","8","30","30","30","1975","2,3,4,5,6,8","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign","100423","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331170","6.85879","7.00831","2.3565","485","29946","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Eldritch Horror","146021","0","","0","0","0","0","0","0","0","0","1","3","","","","","","42332084","7.64638","7.87656","3.31","54","33510","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Epic PVP: Fantasy","168770","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331175","5.80237","6.64275","2.12","3245","1619","thing","Epic PVP: Fantasy","2","4","20","20","20","2015","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Epic PVP: Fantasy Expansion 1","192348","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331183","5.60682","6.81947","2","0","612","thing","Epic PVP: Fantasy Expansion 1","2","4","15","15","15","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Epic PVP: Fantasy Expansion 2","195400","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331178","5.60473","6.96804","3","0","569","thing","Epic PVP: Fantasy Expansion 2","0","0","0","0","0","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Epic PVP: Fantasy – Samurai Deck","210943","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949656","0","7.88","0","0","96","thing","Epic PVP: Fantasy – Samurai Deck","2","4","20","0","20","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Epic PvP: Magic","209452","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949644","0","8.142","0","0","183","thing","Epic PvP: Magic","2","4","20","20","10","2017","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Epic PVP: Magic – Dark Times Expansion","225588","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949649","0","7.9","0","0","101","thing","Epic PVP: Magic – Dark Times Expansion","2","4","0","0","0","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Fallout","232918","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56640371","6.50746","7.12227","2.92","893","6642","thing","Fallout","1","4","180","180","120","2017","1,2,3","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Fallout: New California","256481","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56631627","5.61935","8","3","0","710","thing","Fallout: New California","1","4","180","180","120","2018","1,2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Farkle","3181","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468276","5.45449","5.49653","1.123","15744","3541","thing","Farkle","2","6","30","30","30","1996","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Firefly: The Game","138161","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331186","7.0771","7.39618","2.938","291","16000","thing","Firefly: The Game","1","5","240","240","120","2013","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Firefly: The Game – Artful Dodger","145481","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331197","6.26993","7.60845","2.6538","0","3362","thing","Firefly: The Game – Artful Dodger","2","5","0","0","0","2013","","","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
